Phase,Sub-Item,Type,Module Mapping,Specified in TOR,Custom Dev (One-time),Custom Dev MA & Hosting (On-going/year),License (On-going/year),Service (On-going/year),Setup (One-time),Per Consumption Cost,TOR Items Mapping,Additional CRM Features Beyond TOR
Phase 1,Journey Automation & Multi-channel Messaging,License,Marketing Automation,Yes,,,"390,000",,,,"- A1.5: Marketing Automation คือ การแคมเปญส่ื่อสารอัตโนมัติแบบมีเง่ื่อนไข (trigger/lifecycle/segment)
- D1.2: Journey Automation
- D1.2a: Trigger-based & Lifecycle เช่น Welcome / Upsell / Winback / Remind / etc.
- D1.2b: ส่งได้หลายช่องทาง: SMS / LINE / Email / App Push / Web Push พร้อม personalization
- D1.2c: Track performance ราย funnel และ Campaign report / Dashboard
- E1.7: รับ Push/ข้อความแจ้งสิทธิ์จาก Journeys เชื่อม Tier ได้ข้อเสนอที่แตกต่างกันได้ ซื้อได้ทันที
- E3.4: (Optional) Trigger message/notification จาก journey","- Frequency capping จำกัดข้อความต่อคนต่อช่วงเวลา เช่น ไม่เกิน 3 ครั้ง/สัปดาห์
- Suppression list management
- A/B testing สำหรับเปรียบเทียบ message เช่น ทดสอบข้อความ LINE 2 แบบ
- Journey branching logic (if/else paths)
- Delay nodes และ wait conditions เช่น รอ 3 วันหลังเข้ารับบริการ
- Dynamic content personalization ตาม customer attributes เช่น แสดงชื่อแผนกที่ใช้บริการล่าสุด"
Phase 1,SMS (ส่งข้อความ SMS),Service,Marketing Automation,Yes,,,,,,0.30 บาท/ข้อความ,- D1.2b: ส่งได้หลายช่องทาง: SMS / LINE / Email / App Push / Web Push พร้อม personalization,"- ใช้ SMS สำหรับ OTP, แจ้งเตือนสิทธิ์, campaign และ journey automation
- คิดค่าบริการตามจำนวนข้อความที่ส่งจริง
- รองรับการส่งทั้งในประเทศและต่างประเทศ
- ระบบ delivery tracking และ reporting"
Phase 1,Lifestage / Hyperpersonalization (Optional),Custom Development,Marketing Automation,Yes,"80,000","15,000",,,,,"- D2: (Challenge / Optional) รองรับ Lifestage / Life Context เชื่อม Data Center-HIS เพื่อทํา Hyperpersonalization
- D2.1: สร้าง Lifestage Rule เชื่อม Dynamic Segment เช่น ก่อนถึงนัด สามารถเลือกซื้อเพิ่มได้, หลังจากออกจากโรงพยาบาล แจ้ง Campaign ฟื้นฟูอาการ
- D2.2: ส่ง Campaign ย่อยตาม Lifestage Rule","- ระบบ Lifestage rule เชื่อม HIS เช่น upsell ก่อนนัด, follow-up หลังออก รพ.
- สร้าง segment อัตโนมัติตาม patient journey stage
- ส่ง campaign อัตโนมัติตาม lifecycle event"
Phase 1,AI Decisioning (ระบบ AI สำหรับตัดสินใจอัตโนมัติ),License,AI Decisioning (Optional),No,,,"200,000",,,,,"- แนวคิดหลัก: ทุกครั้งที่ข้อมูลลูกค้าเปลี่ยนแปลง (เข้ารับบริการ, ซื้อแพ็กเกจ, earn/burn coin, tier เปลี่ยน) → AI จะ review ประวัติ, profile, และ context ของลูกค้าคนนั้น → ตัดสินใจว่าควร: ส่งข้อเสนอทันที / รอจังหวะที่เหมาะสม / ไม่ต้องทำอะไร — เสมือนมีผู้เชี่ยวชาญการตลาดดูแลลูกค้าทุกคน แบบ 1:1 ในระดับ scale
- ตั้ง guardrails ได้: กำหนด assets ที่ใช้ได้ (คูปอง/eCoupon/ข้อเสนอ), งบประมาณ, ความถี่สูงสุด, ช่องทางที่อนุญาต, และข้อจำกัดอื่น ๆ
- Next-best-offer: แนะนำแพ็กเกจ/บริการที่เหมาะกับประวัติผู้ป่วยแต่ละคน
- Predictive churn scoring: คาดการณ์สมาชิกที่จะหายไป เพื่อส่ง retention campaign ก่อน
- Behavioral pattern recognition: วิเคราะห์รูปแบบพฤติกรรม เช่น ตรวจสุขภาพประจำปี vs ใช้บริการเฉพาะกิจ
- Smart send-time optimization: ส่งข้อความในเวลาที่แต่ละคนมีโอกาสเปิดอ่านสูงสุด"
Phase 1,Support / SLA / Operations,Service,N/A (Service),Yes,,,,"504,000",,,- G.3: แนวทางการสนับสนุน Support / SLA / Operation,"- ทีม Customer Success เฉพาะโปรเจกต์ 3 คน: 1 หลัก + 1 สำรอง + 1 coordinator
- ทีม Support ให้บริการ 7 วัน 9:00-21:00 น. (ปรับเวลาได้ตามความต้องการ)
- ระบบ monitoring & alerting ตลอด 24 ชม.
- Performance optimization & tuning ต่อเนื่อง
- Training & knowledge transfer workshops สำหรับทีม รพ.
- จัดทำเอกสาร คู่มือการใช้งาน และ runbooks
- ขั้นตอนรับมือเหตุการณ์เร่งด่วน (incident response & escalation)"
"Phase 2 : การพัฒนา membership management (โครงสร้างสมาชิก 6 ประเภท, paid member, payment gateway, สิทธิ์ตามประเภทสมาชิก, กติกา precedence/stackability)",,,,,"345,000","140,000","900,000",0,0,,,
Phase 2,โครงสร้าง Member 6 ประเภท & Multi-membership,License,CRM Core,Yes,,,"900,000",,,,"- A1.1: Member ปัจจุบัน Samitivej CRM แบ่ง เป็น 6 ประเภท
- A1.1a: (ประเภทให้ดาว VIP) Star with Entitlement คือ กลุ่มผู้ถือครองสิทธิประโยชน์ต่าง ๆ ท่ี่ได้ตกลงกับสมิติเวชไว้ ท่ี่ต้องได้รับสิทธิประโยชน์ต่าง ๆ ตามข้อตกลง
- A1.1b: (ประเภทจ่ายเงิน) Paid คือ คนท่ีีซื้อ Membership หรือ Subsciption Plan เช่น Divine Elite, อื่นๆ
- A1.1c: (ประเภทไมจ่ายเงิน) Engagement / Tier (Membership Tier) คือ การท่ีมีส่วนร่วมหรือกิจกรรมท่ี่ตรงเง่ื่อนไข แล้วจะได้สิทธิประโยชน์ เช่น การทํากิจกรรม เช่น ล็อคอิน, Spending Tier Silver/Gold/Platinum จะได้รับสิทธิ์ แตกต่างกัน, อ่ื่นๆ
- A1.1d: (ประเภท Corporate) กลุ่มสมาชิกบริษัทตามคู่สัญญา ผู้มีสิทธิ์ตามเงื่อนไขท่ี่ตกลงกันทางธุรกิจและบริการ เช่น ลูกค้าบริษัทระดับผู้บริหาร, ลูกค้าบริษัทท่ั่วไป อื่น ๆ ได้รับสิทธิ์ต่างกัน
- A1.1e: (ประเภท Insurance) กลุ่มสมาชิกคู่สัญญาบริษัทประกันในแต่ละระดับ ผู้มีสิทธิ์ตามเงื่อนไขที่ตกลงกันทางธุรกิจและบริการ เช่น ลูกค้าประกันระดับสูง, ลูกค้าประกันทั่วไป, อื่น ๆ ได้รับสิทธิ์ต่างกัน
- A1.1f: (ประเภท Exclusive Partner) กลุ่มสมาชิกพันธมิตร ผู้มีสิทธิ์ตามเง่ื่อนไขท่ี่ตกลงกันทางธุรกิจและบริการ เช่น ลูกค้าระดับสูง, ลูกค้าท่ั่วไป, อ่ื่น ๆ ได้รับสิทธิ์ต่างกัน
- หมายเหตุ: 1 คน สามารถ Member ได้หลายประเภท แต่ในมุมมอง Single Customer View ต้องรู้ว่าคนน้ีเก่ียวข้องกับประเภทไหนบ้าง
- A2.5: รองรับการแสดง/จัดการ Member จากทุกประเภท
- C เป้าหมาย: ทํา Member 6 ประเภท เชื่อม ""Benefits+Cross-channel"" ให้เป็นระบบเดียวกัน โดยต้องเชื่อม Omni การเห็น และเข้าถึงได้","- ระบบ Tag สำหรับ segmentation เพิ่มเติม เช่น กลุ่มตรวจสุขภาพประจำ, กลุ่มศัลยกรรม, กลุ่มทันตกรรม
- จัดกลุ่มสมาชิกแบบลำดับขั้น (group → ประเภทสมาชิก → user)
- ติด tag พฤติกรรมไม่จำกัดจำนวน เช่น VIP, ผู้ป่วยเรื้อรัง, ตรวจสุขภาพประจำปี
- โครงสร้างยืดหยุ่น ขยาย rule ได้ในอนาคตโดยไม่กระทบระบบเดิม"
Phase 2,VIP Membership (Star with Entitlement),License + Custom Development,CRM Core,Yes,"50,000","20,000",,,,,"- C1: VIP Membership กลุ่มผู้ถือครองสิทธิ์ประโยชน์ต่าง ๆ ที่ได้ตกลงกับสมิติเวชไว้ เช่น Connex, Cheva (BDMS), VIP Insurance, etc. โดย สร้าง Star แต่ละ Segment พร้อมกับ Entitlement
- C1.1: สร้าง/รับค่า/API มี Star ได้หลายระดับ
- C1.2: สร้าง/เช่ือม Entitlement สิทธิประโยชน์ท่ีได้
- C1.3: รองรับการใช้งานแยกตามสิทธิ เช่น eCoupon, สิทธิ์ส่วนลด ทั้งนี้ ล้อโครงสร้างสําคัญตามเดิม
- หมายเหตุ (A1): สิทธิ์ที่ได้รับมีทั้ง 2 แบบ: 1. สิทธิ์ที่ใช้ได้แค่ครั้งเดียว 2. สิทธิ์ที่ได้รับโดยมีระยะเวลา start date - end date โดยไม่ได้จำกัดว่าสมาชิก star VIP จะใช้กี่ครั้ง
- หมายเหตุ (precedence): สมาชิก 2 ประเภท ได้สิทธิ์เดียวกัน ให้ระบบหยิบมูลค่าสูงสุดแสดง (เช่น Star VIP 30% vs Insurance 20% → แสดง 30%)","- แบ่งกลุ่มย่อย VIP ตามประเภทสมาชิก เช่น Connex vs Cheva
- กำหนด benefit แยกต่อระดับ Star ได้
- แจก entitlement อัตโนมัติเมื่อ assign tier
- ตั้งระยะเวลา entitlement ได้"
Phase 2,Paid Membership + Payment Gateway + คูปองแพ็คเกจ,License + Custom Development,"CRM Core, Open API",Yes,"50,000","30,000",,,,,"- C2: Paid Membership สมาชิกประเภทจ่ายเงิน — ซื้อ Membership หรือ Subsciption Plan เช่น Divine Elite
- C2.1: ตั้งกําหนด benefit อัตโนมัติ มี คูปองบังคับ (mandatory) vs คูปองเลือก (เลือกจากสิทธิ์) vs ส่วนลดใช้ได้จํากัด และ ใช้ได้ไม่จำกัด
- C2.2: เห็นสิทธิ์/เงื่อนไข/การหมดอายุ
- C2.3: การใช้งาน Benefit ล้อตาม eCoupon
- หมายเหตุ (A1): Paid member — มี Tier โดยนับจากยอด paid package ที่ลูกค้าซื้อ เพื่อขยับ tier / ใช้ payment gateway ฝั่ง Rocket ทั้งหมด end to end
- หมายเหตุ (A1): สมาชิกประเภท paid member ต้องได้รับสิทธิ์คูปองตามจำนวน package ที่ซื้อ ถึงแม้ว่าคูปองนั้น ๆ จะซ้ำกัน เนื่องจากเป็นสิทธิฺ์ตามแพ็คเกจที่ซื้อ","- Tier เลื่อนขั้นอัตโนมัติตามยอดสะสม
- เชื่อมต่อ payment gateway ได้
- อัปเกรด tier อัตโนมัติตามเงื่อนไขการใช้จ่าย
- รวมสิทธิประโยชน์เป็นแพ็กเกจได้
- ระบบจัดการต่ออายุ (renewal) และแจ้งเตือนหมดอายุ"
Phase 2,Engagement / Tier-based Membership,License,CRM Core,Yes,,,,,,,"- C3: Engagement Membership / Tier-based membership structure สมาชิกประเภทไม่จ่ายเงิน
- C3.1: Engagement / Tier-based membership structure
- C3.1a: นิยาม tier ได้หลายระดับ
- C3.1b: กําหนด benefit ต่อ tier
- C3.1c: ตั้งเกณฑ์ upgrade/downgrade/expiry
- C3.1d: เชื่อม Trigger จากการคํานวน Tier
- C3.2: การคํานวณ Tier เชื่อมโยงกับ Trigger ข้อมูลจาก Data Source ต่างๆ
- C3.2a: จากยอดใช้จ่าย เช่น Spending Tier Silver/Gold/Platinum จะได้รับสิทธิ์แตกต่างกัน เช่น First (Offer, Top Spend)
- C3.2b: จากจํานวนคร้ั้งที่ใช้บริการ
- C3.2c: จากกิจกรรมพฤติกรรมต่างๆ (Behavior Data)
- C3.2d: รองรับหลายโรงพยาบาล/หลายสาขา (multi-site) โดยเบื้องต้น 2 สาขา
- C3.2e: อ่ืนๆ เช่น จํานวนปี ที่เป็นลูกค้า
- C3.3: การเชื่อม Tier สําหรับ E-commerce
- C3.3a: ร้านใน Shopee/Lazada/Line My Shop และ e-commerce โรงพยาบาล ต้องสามารถผูก tier benefit ได้
- C3.3b: การซื้อขายใน Shopee/Lazada/Line My Shop และ e-commerce โรงพยาบาลต้องกระทบส่งอัปเดตนับเงื่อนไขการซื้อ เช่น ราคา, จํานวนความถ่ี่ท่ี่ซ้ือ เพ่ื่อกระทบรวม Tier กลางของ Samitivej (API ได้หรืออย่างน้อยมีวิธี reconcile)","- รองรับ 5 window types: rolling, fixed_period, anniversary, calendar_month, calendar_quarter
- Non-adjacent progression ข้าม tier ได้ถ้า qualify เช่น Silver ข้ามไป Platinum
- Multi-path qualification (points หรือ sales หรือ orders → tier เดียวกัน)
- Burn Rate ต่อ tier แปลง coin เป็นส่วนลด เช่น Platinum: 1 coin = 0.50 บาท
- อัปเกรด tier ได้ทันที + ตรวจสอบ maintenance อัตโนมัติตามกำหนด
- ตั้ง upgrade timing: ทันที, สิ้นเดือน, วันที่กำหนด, rolling days
- แบ่งกลุ่มย่อยตามประเภทสมาชิกเป็นมิติเสริมอิสระ"
Phase 2,Corporate Membership,License + Custom Development,CRM Core,Yes,"120,000","20,000",,,,,"- C4: Corporate Membership กลุ่มสมาชิกบริษัทตามคู่สัญญา — ผู้มีสิทธิ์ตามเงื่อนไขที่ตกลงกันทางธุรกิจและบริการ เช่น ลูกค้าบริษัทระดับผู้บริหาร, ลูกค้าบริษัททั่วไป อื่น ๆ ได้รับสิทธิ์ต่างกัน
- C4.1: สร้าง ""โปรแกรม/สัญญาองค์กร"" (Corporate Contract/Plan) ใน back office
- C4.2: รองรับ ""ระดับสิทธิ์"" ภายใต้สัญญาเดียวกัน (เช่น Executive / General / Other)
- C4.3: การนําเข้ารายช่ือผู้มีสิทธิ์ (Eligibility/Roster Import) แบบไฟล์ (batch) และ/หรือ API (ถ้ามี)
- C4.4: การผูก ""สมาชิก"" กับ ""บริษัทคู่สัญญา + ระดับสิทธิ์ + ช่วงเวลามีผล"" (effective/expiry/status)
- C4.5: แสดง ""สถานะสมาชิกองค์กร + ระดับสิทธิ์ + สิทธิ์ที่ได้รับ"" ในช่องทางหลัก (Well app / Web / LINE webview) ตามสิทธิ์ที่อนุญาต
- C4.6: กําหนดสิทธิประโยชน์ตามระดับสิทธิ์ (benefit mapping) เช่น สิทธิ์การเข้าถึง, eCoupon, Privilege, ส่วนลด/ข้อเสนอ (ตามข้อตกลง)
- C4.7: ออกรายงานสําหรับกลุ่ม Corporate แยกตามบริษัท/สัญญา/ระดับสิทธิ์ และการใช้งานสิทธิ์ (usage) เพื่อการบริหารสัญญา","- โครงสร้างลำดับขั้นองค์กร เช่น C-Level → Executive → General
- นำเข้ารายชื่อผู้ใช้จำนวนมากพร้อม validation
- ติด tag เพิ่มเติมภายในกลุ่ม corporate ได้
- จัดการรายชื่อผู้มีสิทธิ์ผ่าน API แบบ real-time"
Phase 2,Insurance Membership,License + Custom Development,"CRM Core, Open API",Yes,,"20,000",,,,,"- C5: Insurance Membership กลุ่มสมาชิกคู่สัญญาบริษัทประกันในแต่ละระดับ — ผู้มีสิทธิ์ตามเงื่อนไขที่ตกลงกันทางธุรกิจและบริการ เช่น ลูกค้าประกันระดับสูง, ลูกค้าประกันท่ั่วไป, อื่น ๆ ได้รับสิทธิ์ต่างกัน
- C5.1: การสร้าง ""Partner Contract/Plan"" สําหรับคู่สัญญาบริษัทประกันใน back office เช่น Cheva (BDMS), AIA, Allianz Ayudhya และอื่น ๆ
- C5.2: รองรับหลายระดับสิทธิ์ภายใต้คู่สัญญาเดียวกัน (เช่น Premium / Standard / Other หรือ A/B/C)
- C5.3: การตรวจสอบสิทธิ์ (Eligibility Verification) ได้ทั้งแบบ batch และ/หรือ API ตามความพร้อมของคู่สัญญา และ/หรือการเช่ื่อมต่อ Data Center-HIS เพื่อเข้าถึง Eligible Data
- C5.4: การผูกสมาชิกกับ ""คู่สัญญา + ระดับสิทธิ์ + ช่วงเวลามีผล + สถานะ"" (active/suspended/expired)
- C5.5: แสดง ""สถานะสิทธิ์ + ระดับสิทธิ์ + benefit ท่ี่ได้รับ"" ในช่องทางหลัก (Well app / Web / LINE webview)
- C5.6: รองรับกติกา ""การใช้สิทธิ์ร่วม/ไม่ร่วม"" กับ Coins/eCoupon/ส่วนลดอื่น (stackability / precedence) ตามเงื่อนไขธุรกิจ
- C5.7: รายงานการใช้งานสิทธิ (usage) และสรุปตามคู่สัญญา/ระดับสิทธิ์/ช่วงเวลา เพื่อการบริหารสัญญา
- หมายเหตุ: ทางสมิติเวชมีขาย แพ็คเกจตรวจสุขภาพ ซึ่งมีหลายแพ็คเกจ และมีเงื่อนไข apply discount ต่าง ๆ กัน ระบบจะต้องรองรับหลายเงื่อนไขได้ (เช่น แพ็คเกจ A ใช้ร่วมกับ Coins/eCoupon/ส่วนลดอื่นๆ ได้ / แพ็คเกจ B ใช้ร่วมกับ coupon เท่านั้น)","- กำหนดลำดับความสำคัญสิทธิ์ได้
- ตั้งค่าได้ว่าสิทธิ์ไหนใช้ร่วมกันได้ / ไม่ได้
- ใช้ส่วนลดตามเงื่อนไขแพ็กเกจได้แบบ dynamic
- ตรวจสอบสิทธิ์เฉพาะ partner ผ่าน API
- จัดการสถานะอัตโนมัติ (active → suspended → expired)"
Phase 2,Exclusive Partner Membership,License + Custom Development,"CRM Core, Open API",Yes,,"20,000",,,,,"- C6: Exclusive Partner Membership กลุ่มสมาชิกพันธมิตร ผู้มีสิทธิ์ตามเงื่อนไขที่ตกลงกันทางธุรกิจและบริการ เช่น ลูกค้าระดับสูง, ลูกค้าทั่วไป, อื่น ๆ ได้รับสิทธิ์ต่างกัน
- C6.1: การสร้าง ""Exclusive Partner Contract/Plan"" ใน back office
- C6.2: รองรับหลายระดับสิทธิ์ภายใต้พันธมิตรเดียวกัน (High / General / Other หรือ A/B/C)
- C6.3: การนําเข้ารายช่ือผู้มีสิทธิ์แบบ batch และ/หรือ API (ตาม partner) และ/หรือการเช่ื่อมต่อ Data Center-HIS เพ่ือเข้าถึง Eligible Data
- C6.4: การกําหนดสิทธิประโยชน์ตามระดับสิทธิ์ (benefit mapping) และกําหนดการมองเห็น/การแลกสิทธิได้ (visibility/redeemable)
- C6.5: แสดงสถานะและสิทธิของสมาชิกพันธมิตรในช่องทางหลัก (Well app / Web / LINE webview)
- C6.6: การเชื่อม ""Exclusive Landing Page/Deal"" โดยใช้ข้อมูล partner membership level เป็นหนึ่งในเงื่อนไขการแสดงสิทธิ์ (dynamic condition) / โดยการเพิ่ม และบริหารสิทธิ์ ที่ขึ้นใน LandingPage ปรับเปลี่ยนได้ โดย Samitivej โดยไม่ขึ้นตรงระบบพันธมิตร
- C6.7: ระบบต้องมีรายงานแยกตามพันธมิตร/สัญญา/ระดับสิทธิ์ และการใช้งานสิทธิสําหรับการบริหารความสัมพันธ์กับพันธมิตร","- จัดการ Landing page content ภายใน CRM
- แสดงดีลเฉพาะบุคคลตามเงื่อนไข
- Reward pool แยกต่อ partner ได้
- รับ activity context จาก partner ผ่าน API
- ตั้ง rule เฉพาะ partner ได้"
Phase 2,กติกาข้ามประเภทสมาชิก (Precedence/Stackability/Audit),License,"CRM Core, Mini-CDP",Yes,,,,,,,"หมายเหตุ Scope ร่วม:
-มี Audit Trail ครบ: ใครเพิ่ม/แก้/ลบสิทธิ์ เมื่อไร, ด้วยเหตุผลอะไร (รวม manual override)
-มี Role & Permission สําหรับ back office และมีขั้นตอนอนุมัติ (maker-checker) สําหรับการปรับสิทธิ์สำคัญ
-ต้องรองรับ สมาชิก 1 คนมีหลายสิทธิ์ / หลายโปรแกรมพร้อมกัน และมีกติกา การจัดลําดับความสําคัญ (Precedence) --และความสามารถในการเรียงสิทธิ์ที่ใช้ต่อกันได้ (Stackability) ตั้งค่าได้
-ต้องมี Single Source of Truth สําหรับสถานะ membership/benefits เพื่อให้ข้อมูลตรงกันทุกช่องทาง
-ต้องรองรับการ export รายงาน และ API สําหรับดึงสถานะสิทธิ์ (Eligibility Status) ไปใช้กับช่องทางอื่น (เช่น e-commerce)","- ข้อมูลอัปเดตแบบ real-time ข้ามทุกช่องทาง
- โครงสร้างยืดหยุ่น ขยาย rule ได้โดยไม่กระทบระบบเดิม
- บันทึก audit trail ครบทุกรายการพร้อมที่มาของแต่ละรายการ
- จัดลำดับความสำคัญสิทธิ์ต่อประเภทได้
- กำหนดได้ว่าสิทธิ์ไหนใช้ร่วมกับสิทธิ์ไหนได้"
Phase 2,Exclusive Partner Landing Page,Custom Development,CRM Campaigns,Yes,"125,000","30,000",,,,,"- F2: Exclusive Landing Page for Partner Privilege (Requirement เฉพาะ) — ""หน้าดีลเฉพาะ"" ไม่ปน mass campaign กับพันธมิตรท่ี่อยูในเครือข่ายของ Vendor หรือที่เราดีลเอง
- F2 Front 1: ดีล Exclusive Health Privilege เช่ื่อมลูกค้าและมีหน้าแสดงผลเฉพาะของสมิติเวช
- F2 Front 2: เม่ื่อผู้ใช้ทํากิจกรรมกับ Partner A สําเร็จ → มี CTA ไปหน้า landing เฉพาะท่ี่กําหนดให้ Partner A เท่านั้น
- F2 Front 3: สิทธิ์เปล่ี่ยนตามบริบท (dynamic condition) โดยฝั่งสมิติเวชเป็นคนกําหนด
- F2 Back 1: ทีมการตลาดตั้ง rule เอง เลือก privilege จาก pool กลาง ตามแต่ละดีล
- F2 Back 2: รองรับ API-based จาก partner ส่ง activity context เข้ามา
- F2 Back 3: Match: User <-> Partner <-> Activity Status เพ่ื่อให้ partner เอาไปแสดงหน้าใช้สิทธิ์","- แสดง content ตามประเภทสมาชิก
- กำหนดสิทธิ์แลกรางวัลตาม customer attributes แบบ real-time
- กำหนดดีลตามสาขา/แผนกได้
- สร้าง deep link สำหรับ partner distribution"
Phase 3 : การพัฒนาในส่วน Website ของ รพ. & LINE OA แต่ละสาขา,,,,,"1,000,000","240,000","170,000",0,"180,000",,,
Phase 3,เว็บไซต์สมิติเวช (เริ่มต้น 2 สาขา: ศรีนครินทร์ & สุขุมวิท),Custom Development,Open API,Yes,"900,000","180,000",,,,,"- E2: เว็บไซต์สมิติเวช และสมิติเวชเด็ก — ""Earn + Identify + Activate""
- E2 เว็บต้องรองรับอย่างน้อย:
- E2.1: Member
- E2.2: Register / Login
- E2.3: Patient History (การแสดงผลจาก Internal)
- E2.4: Check Coins
- E2.5: Redeem Coins
- E2.6: View eCoupons
- E2.7: Track Activities Contents Read / Like / Share / Hospital Ecommerce
- E2.8: ส่ง event เข้า CRM เพ่ือให้ coins ตามกติกา
- E2.9: Consent & preference / Omni
- B3.2: เว็บไซต์สมิติเวช / เว็บไซต์สมิติเวชเด็ก (register/login + activity tracking + wallet view + redeem)","- รองรับ web event tracking
- เชื่อมต่อ earn channel สำหรับ content engagement
- ตั้งค่า activity-to-coin mapping ได้ เช่น อ่านบทความ = X coins
- รองรับ embedded widget (wallet, tier status)
- ราคาต่อ website ต่อ รพ."
Phase 3,เว็บไซต์สมิติเวช (Optional: เพิ่มสาขา — ราคาต่อสาขา),Custom Development,Open API,Yes,"100,000","60,000",,,,,"- E2: เว็บไซต์สมิติเวช — เนื้อหาเดียวกับ 2 สาขาแรก แต่ขยายเพิ่มอีก 5 สาขา
- หมายเหตุ Phase 3: กรณีในอนาคตจะให้พัฒนาเพิ่มสาขาอื่นๆ อีกประมาณ 5 สาขา จะคิดค่าพัฒนาต่อสาขาเท่าไหร่ **ให้ท่ามาเป็น Optional","- Architecture เดียวกับ 2 สาขาแรก ขยายได้ทันที
- แชร์ CRM backend เดียวกัน (multi-site)
- ตั้งค่า earn rule / campaign แยกต่อสาขาได้
- ตั้งค่าแยกตามสาขาได้"
Phase 3,LINE OA แต่ละสาขา (เริ่มต้น 2 สาขา: ศรีนครินทร์ & สุขุมวิท),License,Open API,Yes,,,"120,000",,"100,000",,"- E3: LINE — ควรเป็นช่องทาง:
- E3 LINE ควรเป็นช่องทาง:
- E3.1: Register / Login (ผ่าน LIFF / Webview)
- E3.2: Check Coins / Check Tier / Check eCoupons
- E3.3: Burn Coins / Redeem Coupons redirect ไปหน้า CRM webview
- E3.4: (Optional) Trigger message/notification จาก journey
- B3.3: LINE (register / login / activities / collect / redeem)
- หมายเหตุ Phase 3: การพัฒนาระบบ Line OA แต่ละสาขา ซึ่ง ร.พ.สมิติเวช แต่ละสาขาจะมี line oa ของตัวเอง ต้องใส่ราคาแยกมาแต่ละโรงพยาบาล ราคา per website/per line oa เท่าไหร่","- LINE OAuth built-in authentication
- LIFF web app framework support
- Rich menu webhook integration
- LINE Messaging API สำหรับ journey notifications
- Flex message templates สำหรับ rich content display
- ราคาต่อ LINE OA ต่อ รพ."
Phase 3,LINE OA (Optional: เพิ่มสาขา — ราคาต่อสาขา),License,Open API,Yes,,,"50,000",,"80,000",,"- E3: LINE — เนื้อหาเดียวกับ 2 สาขาแรก แต่ขยายเพิ่มอีก 5 สาขา
- หมายเหตุ Phase 3: กรณีในอนาคตจะให้พัฒนาเพิ่มสาขาอื่นๆ อีกประมาณ 5 สาขา จะคิดค่าพัฒนาต่อสาขาเท่าไหร่ **ให้ท่ามาเป็น Optional","- Architecture เดียวกับ 2 สาขาแรก ขยายได้ทันที
- แชร์ CRM backend เดียวกัน (multi-site)
- ตั้งค่า rich menu / campaign แยกต่อสาขาได้"
,,,,,,,,,,,,
,,,,Cost summary,Custom Dev (One-time),Custom Dev MA & Hosting (On-going/year),License (On-going/year),Service (On-going/year),Setup (One-time),,,
,,,,,"2,695,000","625,000","3,992,000","504,000","180,000",,,
,,,,,,,,,,,,
,,,,,,,,Grand total (ex-VAT),"7,996,000",,,
